Main,Department,Sub Department
अनुसूचित जाचत कल्याण चिभाग----उजाा चिभाग,अनुसूचित जाचत कल्याण चिभाग,उजाा चिभाग
अनुसूचित जाचत कल्याण चिभाग----लोक स्िास्थय याांचिकी चिभाग,अनुसूचित जाचत कल्याण चिभाग,लोक स्िास्थय याांचिकी चिभाग
अनुसूचित जाचत कल्याण चिभाग----खाद्य आपूर्ता चिभाग,अनुसूचित जाचत कल्याण चिभाग,खाद्य आपूर्ता चिभाग
अनुसूचित जाचत कल्याण चिभाग----पुचलस,अनुसूचित जाचत कल्याण चिभाग,पुचलस
अनुसूचित जाचत कल्याण चिभाग----राजस्ि चिभाग,अनुसूचित जाचत कल्याण चिभाग,राजस्ि चिभाग
अनुसूचित जाचत कल्याण चिभाग----लोक चिक्षण,अनुसूचित जाचत कल्याण चिभाग,लोक चिक्षण
अनुसूचित जाचत कल्याण चिभाग----नगर पाचलका/नगर पररषद/अन्य नगर चनकाय,अनुसूचित जाचत कल्याण चिभाग,नगर पाचलका/नगर पररषद/अन्य नगर चनकाय
अनुसूचित जाचत कल्याण चिभाग----लोक स्िास््य,अनुसूचित जाचत कल्याण चिभाग,लोक स्िास््य
अनुसूचित जाचत कल्याण चिभाग----प्राकृ चतक प्रकोप राहत राचि,अनुसूचित जाचत कल्याण चिभाग,प्राकृ चतक प्रकोप राहत राचि
अनुसूचित जाचत कल्याण चिभाग----पांिायती राज,अनुसूचित जाचत कल्याण चिभाग,पांिायती राज
अनुसूचित जाचत कल्याण चिभाग----स्िच्छ भारत चििन (पांिायत एिां ग्रािीण चिकास चिभाग),अनुसूचित जाचत कल्याण चिभाग,स्िच्छ भारत चििन (पांिायत एिां ग्रािीण चिकास चिभाग)
अनुसूचित जाचत कल्याण चिभाग----सािाचजक न्याय एिां चनिक्त कल्याण चिभाग,अनुसूचित जाचत कल्याण चिभाग,सािाचजक न्याय एिां चनिक्त कल्याण चिभाग
अनुसूचित जाचत कल्याण चिभाग----सीिाांकन,अनुसूचित जाचत कल्याण चिभाग,सीिाांकन
अनुसूचित जाचत कल्याण चिभाग----राज्य चिक्षा कें द्र,अनुसूचित जाचत कल्याण चिभाग,राज्य चिक्षा कें द्र
अनुसूचित जाचत कल्याण चिभाग----सहकाररता चिभाग,अनुसूचित जाचत कल्याण चिभाग,सहकाररता चिभाग
अनुसूचित जाचत कल्याण चिभाग----साफ सफाई / स्िास्थ सेिाएँ - नगर चनगि,अनुसूचित जाचत कल्याण चिभाग,साफ सफाई / स्िास्थ सेिाएँ - नगर चनगि
अनुसूचित जाचत कल्याण चिभाग----सािान्य प्रिासन चिभाग,अनुसूचित जाचत कल्याण चिभाग,सािान्य प्रिासन चिभाग
अनुसूचित जाचत कल्याण चिभाग----लीड बैंक - सांस्थागत चित्त,अनुसूचित जाचत कल्याण चिभाग,लीड बैंक - सांस्थागत चित्त
अनुसूचित जाचत कल्याण चिभाग----सांस्थागत चित्त,अनुसूचित जाचत कल्याण चिभाग,सांस्थागत चित्त
अनुसूचित जाचत कल्याण चिभाग----जल सांसाधन चिभाग,अनुसूचित जाचत कल्याण चिभाग,जल सांसाधन चिभाग
अनुसूचित जाचत कल्याण चिभाग----िनरेगा,अनुसूचित जाचत कल्याण चिभाग,िनरेगा
अनुसूचित जाचत कल्याण चिभाग----िचहला एिां बाल चिकास चिभाग,अनुसूचित जाचत कल्याण चिभाग,िचहला एिां बाल चिकास चिभाग
अनुसूचित जाचत कल्याण चिभाग----इांददरा आिास योजना,अनुसूचित जाचत कल्याण चिभाग,इांददरा आिास योजना
अनुसूचित जाचत कल्याण चिभाग----िन चिभाग,अनुसूचित जाचत कल्याण चिभाग,िन चिभाग
अनुसूचित जाचत कल्याण चिभाग----प्रकाि व्यिस्था - नगर चनगि,अनुसूचित जाचत कल्याण चिभाग,प्रकाि व्यिस्था - नगर चनगि
अनुसूचित जाचत कल्याण चिभाग----जनजातीय काया चिभाग,अनुसूचित जाचत कल्याण चिभाग,जनजातीय काया चिभाग
अनुसूचित जाचत कल्याण चिभाग----कृ चष चिकास चिभाग,अनुसूचित जाचत कल्याण चिभाग,कृ चष चिकास चिभाग
अनुसूचित जाचत कल्याण चिभाग----डायल 100 पुचलस,अनुसूचित जाचत कल्याण चिभाग,डायल 100 पुचलस
अनुसूचित जाचत कल्याण चिभाग----पेयजल - नगर चनगि,अनुसूचित जाचत कल्याण चिभाग,पेयजल - नगर चनगि
अनुसूचित जाचत कल्याण चिभाग----प्रधानिांिी आिास योजना- ग्रािीण,अनुसूचित जाचत कल्याण चिभाग,प्रधानिांिी आिास योजना- ग्रािीण
अनुसूचित जाचत कल्याण चिभाग----पररिहन चिभाग,अनुसूचित जाचत कल्याण चिभाग,पररिहन चिभाग
अनुसूचित जाचत कल्याण चिभाग----लोक चनिााण चिभाग,अनुसूचित जाचत कल्याण चिभाग,लोक चनिााण चिभाग
अनुसूचित जाचत कल्याण चिभाग----अनुसूचित जाचत कल्याण चिभाग,अनुसूचित जाचत कल्याण चिभाग,अनुसूचित जाचत कल्याण चिभाग
अनुसूचित जाचत कल्याण चिभाग----सीिेज - नगर चनगि,अनुसूचित जाचत कल्याण चिभाग,सीिेज - नगर चनगि
अनुसूचित जाचत कल्याण चिभाग----िुख्यिांिी ग्रािीण आिास चििन,अनुसूचित जाचत कल्याण चिभाग,िुख्यिांिी ग्रािीण आिास चििन
अनुसूचित जाचत कल्याण चिभाग----उच्च चिक्षा,अनुसूचित जाचत कल्याण चिभाग,उच्च चिक्षा
अनुसूचित जाचत कल्याण चिभाग----आबकारी चिभाग,अनुसूचित जाचत कल्याण चिभाग,आबकारी चिभाग
अनुसूचित जाचत कल्याण चिभाग----प्रधानिांिी ग्राि सड़क योजना,अनुसूचित जाचत कल्याण चिभाग,प्रधानिांिी ग्राि सड़क योजना
अनुसूचित जाचत कल्याण चिभाग----िध्यान्ह भोजन,अनुसूचित जाचत कल्याण चिभाग,िध्यान्ह भोजन
अनुसूचित जाचत कल्याण चिभाग----चजला अस्पताल,अनुसूचित जाचत कल्याण चिभाग,चजला अस्पताल
अनुसूचित जाचत कल्याण चिभाग----चजला व्यापार एिां उद्योग कें द्र,अनुसूचित जाचत कल्याण चिभाग,चजला व्यापार एिां उद्योग कें द्र
अनुसूचित जाचत कल्याण चिभाग----खचनज साधन चिभाग,अनुसूचित जाचत कल्याण चिभाग,खचनज साधन चिभाग
अनुसूचित जाचत कल्याण चिभाग----चनिाािन िाखा,अनुसूचित जाचत कल्याण चिभाग,चनिाािन िाखा
अनुसूचित जाचत कल्याण चिभाग----पिुपालन,अनुसूचित जाचत कल्याण चिभाग,पिुपालन
अनुसूचित जाचत कल्याण चिभाग----अस्थाई अचतक्रिण - नगर चनगि,अनुसूचित जाचत कल्याण चिभाग,अस्थाई अचतक्रिण - नगर चनगि
अनुसूचित जाचत कल्याण चिभाग----दकसान क्रे चडट काडा- सहकाररता,अनुसूचित जाचत कल्याण चिभाग,दकसान क्रे चडट काडा- सहकाररता
अनुसूचित जाचत कल्याण चिभाग----जय दकसान फसल ऋण िाफी,अनुसूचित जाचत कल्याण चिभाग,जय दकसान फसल ऋण िाफी
अनुसूचित जाचत कल्याण चिभाग----पुचलस दरू सांिार- रेचडयो पुचलस,अनुसूचित जाचत कल्याण चिभाग,पुचलस दरू सांिार- रेचडयो पुचलस
अनुसूचित जाचत कल्याण चिभाग----स्थापना िाखा- पररिहन चिभाग,अनुसूचित जाचत कल्याण चिभाग,स्थापना िाखा- पररिहन चिभाग
आयुष चिभाग----अनुसूचित जाचत कल्याण चिभाग,आयुष चिभाग,अनुसूचित जाचत कल्याण चिभाग
आयुष चिभाग----अन््यािसायी िाखा,आयुष चिभाग,अन््यािसायी िाखा
आयुष चिभाग----अन्य चिभाग,आयुष चिभाग,अन्य चिभाग
उच्च चिक्षा चिभाग----आयुष चिभाग,उच्च चिक्षा चिभाग,आयुष चिभाग
उच्च चिक्षा चिभाग----िास. स्ि. यूनानी िहाचिद्यालय भोपाल,उच्च चिक्षा चिभाग,िास. स्ि. यूनानी िहाचिद्यालय भोपाल
उच्च चिक्षा चिभाग----िास. स्ि. होम्योपैथी िहाचिद्यालय भोपाल,उच्च चिक्षा चिभाग,िास. स्ि. होम्योपैथी िहाचिद्यालय भोपाल
उच्च चिक्षा चिभाग----िास. स्ि. आयुिेद िहाचिद्यालय इांदौर,उच्च चिक्षा चिभाग,िास. स्ि. आयुिेद िहाचिद्यालय इांदौर
उच्च चिक्षा चिभाग----िास. स्ि. आयुिेद िहाचिद्यालय उज्जैन,उच्च चिक्षा चिभाग,िास. स्ि. आयुिेद िहाचिद्यालय उज्जैन
उच्च चिक्षा चिभाग----िास. स्ि. आयुिेद िहाचिद्यालय ग्िाचलयर,उच्च चिक्षा चिभाग,िास. स्ि. आयुिेद िहाचिद्यालय ग्िाचलयर
उच्च चिक्षा चिभाग----िास. स्ि. आयुिेद िहाचिद्यालय जबलपुर,उच्च चिक्षा चिभाग,िास. स्ि. आयुिेद िहाचिद्यालय जबलपुर
उच्च चिक्षा चिभाग----िास. स्ि. आयुिेद िहाचिद्यालय बुरहानपुर,उच्च चिक्षा चिभाग,िास. स्ि. आयुिेद िहाचिद्यालय बुरहानपुर
उच्च चिक्षा चिभाग----िास. स्ि. आयुिेद िहाचिद्यालय भोपाल,उच्च चिक्षा चिभाग,िास. स्ि. आयुिेद िहाचिद्यालय भोपाल
उच्च चिक्षा चिभाग----िास. स्ि. आयुिेद िहाचिद्यालय रीिा,उच्च चिक्षा चिभाग,िास. स्ि. आयुिेद िहाचिद्यालय रीिा
उच्च चिक्षा चिभाग----िासकीय आयुिेद फोिेसी ग्िाचलयर,उच्च चिक्षा चिभाग,िासकीय आयुिेद फोिेसी ग्िाचलयर
उच्च चिक्षा चिभाग----िासकीय यूनानी फोिेसी भोपाल,उच्च चिक्षा चिभाग,िासकीय यूनानी फोिेसी भोपाल
उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग----उच्च चिक्षा,उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग,उच्च चिक्षा
उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग----जीबाजी चिश्वचिद्यालय ग्िाचलयर,उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग,जीबाजी चिश्वचिद्यालय ग्िाचलयर
उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग----बरकतउल्ला चिश्वचिद्यालय भोपाल,उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग,बरकतउल्ला चिश्वचिद्यालय भोपाल
उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग----भोज िुक्त चिश्वचिद्यालय,उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग,भोज िुक्त चिश्वचिद्यालय
उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग----रानी दगु,उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग,रानी दगु
ााबती चिश्वचिद्यालय जबलपुर,ााबती चिश्वचिद्यालय जबलपुर,
उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग----अिधेि प्रताप ससांह चिश्वचिद्यालय रीिा,उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग,अिधेि प्रताप ससांह चिश्वचिद्यालय रीिा
उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग----डॉ. हररससांह गोर चिश्वचिद्यालय सागर,उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग,डॉ. हररससांह गोर चिश्वचिद्यालय सागर
उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग----देिी अचहल्या चिश्वचिद्यालय इांदौर,उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग,देिी अचहल्या चिश्वचिद्यालय इांदौर
उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग----चिक्रि यूचनिर्साटी उज्जैन,उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग,चिक्रि यूचनिर्साटी उज्जैन
उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग----चछन्दिाडा चिश्वचिद्यालय चछन्दिाडा,उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग,चछन्दिाडा चिश्वचिद्यालय चछन्दिाडा
उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग----िहा्िा गाँधी चििकू ट ग्रािोदय चिश्वचिद्यालय,उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग,िहा्िा गाँधी चििकू ट ग्रािोदय चिश्वचिद्यालय
उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग----पांचडत एस.एन. िुक्ला चिश्वचिद्यालय िहडोल,उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग,पांचडत एस.एन. िुक्ला चिश्वचिद्यालय िहडोल
उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग----िहाराजा छिसाल चिश्वचिद्यालय छतरपुर,उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग,िहाराजा छिसाल चिश्वचिद्यालय छतरपुर
उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग----िहर्षा िहिे,उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग,िहर्षा िहिे
योगी िदै दक चिश्वचिद्यालय,योगी िदै दक चिश्वचिद्यालय,
उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग----अटल चबहारी चिश्वचिधालय भोपाल,उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग,अटल चबहारी चिश्वचिधालय भोपाल
उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग----डॉ. बी. आर. अम्बेडकर सािाचजक चिज्ञान चिश्वचिद्यालय,उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग,डॉ. बी. आर. अम्बेडकर सािाचजक चिज्ञान चिश्वचिद्यालय
उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग----िहर्षा पाचणनी सस्कृ त एिां िैददक चिश्वचिद्यालय उज्जैन,उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग,िहर्षा पाचणनी सस्कृ त एिां िैददक चिश्वचिद्यालय उज्जैन
"उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग----धिािास्त्र राष्ट्रीय चिचध चिश्वचिद्यालय, जबलपुर",उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग,"धिािास्त्र राष्ट्रीय चिचध चिश्वचिद्यालय, जबलपुर"
उजाा चिभाग----उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग,उजाा चिभाग,उद्याचनकी एिां खाद्य प्रसांस्करण चिभाग
दकसान कल्याण एिां कृ चष चिकास चिभाग----सौर पथ प्रकाि सयांि,दकसान कल्याण एिां कृ चष चिकास चिभाग,सौर पथ प्रकाि सयांि
दकसान कल्याण एिां कृ चष चिकास चिभाग----सोलर पांप (निीन एिां निकरणीय उजाा चिभाग),दकसान कल्याण एिां कृ चष चिकास चिभाग,सोलर पांप (निीन एिां निकरणीय उजाा चिभाग)
दकसान कल्याण एिां कृ चष चिकास चिभाग----अक्षय उजाा िॉप,दकसान कल्याण एिां कृ चष चिकास चिभाग,अक्षय उजाा िॉप
दकसान कल्याण एिां कृ चष चिकास चिभाग----चग्रड सयोचजत पररयोजना-पिन ऊजाा,दकसान कल्याण एिां कृ चष चिकास चिभाग,चग्रड सयोचजत पररयोजना-पिन ऊजाा
दकसान कल्याण एिां कृ चष चिकास चिभाग----चग्रड सयोचजत पररयोजना-सौर ऊजाा,दकसान कल्याण एिां कृ चष चिकास चिभाग,चग्रड सयोचजत पररयोजना-सौर ऊजाा
दकसान कल्याण एिां कृ चष चिकास चिभाग----सोलर पॉिर पैक,दकसान कल्याण एिां कृ चष चिकास चिभाग,सोलर पॉिर पैक
दकसान कल्याण एिां कृ चष चिकास चिभाग----आर ई सी,दकसान कल्याण एिां कृ चष चिकास चिभाग,आर ई सी
दकसान कल्याण एिां कृ चष चिकास चिभाग----चग्रड सयोचजत पररयोजना-बायोिास,दकसान कल्याण एिां कृ चष चिकास चिभाग,चग्रड सयोचजत पररयोजना-बायोिास
दकसान कल्याण एिां कृ चष चिकास चिभाग----चग्रड सयोचजत पररयोजना-लद्यु जल चिद्युत ऊजाा,दकसान कल्याण एिां कृ चष चिकास चिभाग,चग्रड सयोचजत पररयोजना-लद्यु जल चिद्युत ऊजाा
दकसान कल्याण एिां कृ चष चिकास चिभाग----सोलर थिाल,दकसान कल्याण एिां कृ चष चिकास चिभाग,सोलर थिाल
कु टीर एिां ग्रािोद्योग चिभाग----कृ चष चिकास चिभाग,कु टीर एिां ग्रािोद्योग चिभाग,कृ चष चिकास चिभाग
कु टीर एिां ग्रािोद्योग चिभाग----जय दकसान फसल ऋण  िाफी,कु टीर एिां ग्रािोद्योग चिभाग,जय दकसान फसल ऋण  िाफी
कु टीर एिां ग्रािोद्योग चिभाग----कृ चष उपज िांडी,कु टीर एिां ग्रािोद्योग चिभाग,कृ चष उपज िांडी
कु टीर एिां ग्रािोद्योग चिभाग----अनाज पररिहन हल्े पलाईन,कु टीर एिां ग्रािोद्योग चिभाग,अनाज पररिहन हल्े पलाईन
कु टीर एिां ग्रािोद्योग चिभाग----कां बाईन हािेस्टर हल्े  पलाईन,कु टीर एिां ग्रािोद्योग चिभाग,कां बाईन हािेस्टर हल्े  पलाईन
कु टीर एिां ग्रािोद्योग चिभाग----जबाहरलाल नेहरू कृ चष चिश्वचिद्यालय,कु टीर एिां ग्रािोद्योग चिभाग,जबाहरलाल नेहरू कृ चष चिश्वचिद्यालय
कु टीर एिां ग्रािोद्योग चिभाग----िध्यप्रदेि राज्य बीज एिां फािा चिकास चनगि,कु टीर एिां ग्रािोद्योग चिभाग,िध्यप्रदेि राज्य बीज एिां फािा चिकास चनगि
कु टीर एिां ग्रािोद्योग चिभाग----सांिालनालय कृ चष अचभयाांचिकी,कु टीर एिां ग्रािोद्योग चिभाग,सांिालनालय कृ चष अचभयाांचिकी
कु टीर एिां ग्रािोद्योग चिभाग----राजिाता चिजयाराजे ससांचधया कृ चष चिश्वचिद्यालय,कु टीर एिां ग्रािोद्योग चिभाग,राजिाता चिजयाराजे ससांचधया कृ चष चिश्वचिद्यालय
कु टीर एिां ग्रािोद्योग चिभाग----फसल बीिा- कृ चष कल्याण चिभाग,कु टीर एिां ग्रािोद्योग चिभाग,फसल बीिा- कृ चष कल्याण चिभाग
कु टीर एिां ग्रािोद्योग चिभाग----ि.प्र. राज्य कृ चष चिपणन बोडा भोपाल,कु टीर एिां ग्रािोद्योग चिभाग,ि.प्र. राज्य कृ चष चिपणन बोडा भोपाल
खचनज साधन चिभाग----रेिि,खचनज साधन चिभाग,रेिि
खचनज साधन चिभाग----खादी बोडा,खचनज साधन चिभाग,खादी बोडा
खचनज साधन चिभाग----हाथकरघा सांिनालय,खचनज साधन चिभाग,हाथकरघा सांिनालय
खचनज साधन चिभाग----हस्तचिल्प,खचनज साधन चिभाग,हस्तचिल्प
खचनज साधन चिभाग----िाटीकला,खचनज साधन चिभाग,िाटीकला
खाद्य नागररक आपूर्ता एिां उपभोक्ता सांरक्षण चिभाग----खचनज साधन चिभाग,खाद्य नागररक आपूर्ता एिां उपभोक्ता सांरक्षण चिभाग,खचनज साधन चिभाग
खेल एिां युिा कल्याण चिभाग----खाद्य आपूर्ता चिभाग,खेल एिां युिा कल्याण चिभाग,खाद्य आपूर्ता चिभाग
खेल एिां युिा कल्याण चिभाग----उपभोक्ता सांरक्षण चिभाग,खेल एिां युिा कल्याण चिभाग,उपभोक्ता सांरक्षण चिभाग
खेल एिां युिा कल्याण चिभाग----एि.पी. स्टेट चसचिल सप्लाईज  कापोरेिन,खेल एिां युिा कल्याण चिभाग,एि.पी. स्टेट चसचिल सप्लाईज  कापोरेिन
खेल एिां युिा कल्याण चिभाग----चजला सहकारी के न्द्रीय बैंक,खेल एिां युिा कल्याण चिभाग,चजला सहकारी के न्द्रीय बैंक
खेल एिां युिा कल्याण चिभाग----चिपणन सांघ (िाका फे ड),खेल एिां युिा कल्याण चिभाग,चिपणन सांघ (िाका फे ड)
खेल एिां युिा कल्याण चिभाग----िध्यप्रदेि िेयरहाउससांग एण्ड लॉचजचस्टक्स कारपोरेिन,खेल एिां युिा कल्याण चिभाग,िध्यप्रदेि िेयरहाउससांग एण्ड लॉचजचस्टक्स कारपोरेिन
खेल एिां युिा कल्याण चिभाग----चनयांिक नाप - तौल ि.प्र.,खेल एिां युिा कल्याण चिभाग,चनयांिक नाप - तौल ि.प्र.
खेल एिां युिा कल्याण चिभाग----चजला चिकायत चनिारण अचधकारी (डी.जी.आर.ओ.),खेल एिां युिा कल्याण चिभाग,चजला चिकायत चनिारण अचधकारी (डी.जी.आर.ओ.)
गृह चिभाग----खेल एिां युिा कल्याण चिभाग,गृह चिभाग,खेल एिां युिा कल्याण चिभाग
चिदक्सा चिक्षा चिभाग----पुचलस,चिदक्सा चिक्षा चिभाग,पुचलस
चिदक्सा चिक्षा चिभाग----डायल 100 पुचलस,चिदक्सा चिक्षा चिभाग,डायल 100 पुचलस
चिदक्सा चिक्षा चिभाग----पुचलस दरू सांिार- रेचडयो पुचलस,चिदक्सा चिक्षा चिभाग,पुचलस दरू सांिार- रेचडयो पुचलस
चिदक्सा चिक्षा चिभाग----यातायात पुचलस,चिदक्सा चिक्षा चिभाग,यातायात पुचलस
चिदक्सा चिक्षा चिभाग----होिगाडा एिां नागररक सुरक्षा,चिदक्सा चिक्षा चिभाग,होिगाडा एिां नागररक सुरक्षा
चिदक्सा चिक्षा चिभाग----साइबर पुचलस,चिदक्सा चिक्षा चिभाग,साइबर पुचलस
चिदक्सा चिक्षा चिभाग----रेलिे पुचलस (जी.आर.पी.),चिदक्सा चिक्षा चिभाग,रेलिे पुचलस (जी.आर.पी.)
चिदक्सा चिक्षा चिभाग----अचिििन (FIRE),चिदक्सा चिक्षा चिभाग,अचिििन (FIRE)
चिदक्सा चिक्षा चिभाग----राज्य अपराध अनुसांधान ( CID),चिदक्सा चिक्षा चिभाग,राज्य अपराध अनुसांधान ( CID)
चिदक्सा चिक्षा चिभाग----चिसबल पुचलस,चिदक्सा चिक्षा चिभाग,चिसबल पुचलस
चिदक्सा चिक्षा चिभाग----सैचनक कल्याण चिभाग,चिदक्सा चिक्षा चिभाग,सैचनक कल्याण चिभाग
चिदक्सा चिक्षा चिभाग----कार्िाक- पुचलस,चिदक्सा चिक्षा चिभाग,कार्िाक- पुचलस
चिदक्सा चिक्षा चिभाग----यूक्रे न सहायता,चिदक्सा चिक्षा चिभाग,यूक्रे न सहायता
जन चिकायत चनिारण चिभाग----सछांदिाड़ा इांस्टीट्यूट ऑफ़ िेचडकल साइांस चिदक्सा िहाचिद्यालय सछांदिाड़ा,जन चिकायत चनिारण चिभाग,सछांदिाड़ा इांस्टीट्यूट ऑफ़ िेचडकल साइांस चिदक्सा िहाचिद्यालय सछांदिाड़ा
जन चिकायत चनिारण चिभाग----अटल चबहारी बाजपेयी िासकीय चिदक्सा िहाचिद्यालय चिददिा,जन चिकायत चनिारण चिभाग,अटल चबहारी बाजपेयी िासकीय चिदक्सा िहाचिद्यालय चिददिा
जन चिकायत चनिारण चिभाग----एि.आर.टी.बी. चिदक्सालय इांदौर,जन चिकायत चनिारण चिभाग,एि.आर.टी.बी. चिदक्सालय इांदौर
जन चिकायत चनिारण चिभाग----क्षय चिदक्सालय भोपाल,जन चिकायत चनिारण चिभाग,क्षय चिदक्सालय भोपाल
जन चिकायत चनिारण चिभाग----क्षय रोग चिदक्सालय सागर,जन चिकायत चनिारण चिभाग,क्षय रोग चिदक्सालय सागर
जन चिकायत चनिारण चिभाग----कैं सर चिदक्सालय इांदौर,जन चिकायत चनिारण चिभाग,कैं सर चिदक्सालय इांदौर
जन चिकायत चनिारण चिभाग----गजराराजा चिदक्सा िहाचिद्यालय ग्िाचलयर,जन चिकायत चनिारण चिभाग,गजराराजा चिदक्सा िहाचिद्यालय ग्िाचलयर
जन चिकायत चनिारण चिभाग----गाँधी िासकीय चिदक्सा िहाचिद्यालय भोपाल,जन चिकायत चनिारण चिभाग,गाँधी िासकीय चिदक्सा िहाचिद्यालय भोपाल
जन चिकायत चनिारण चिभाग----गाँधी स्िारक चिदक्सालय रीिा,जन चिकायत चनिारण चिभाग,गाँधी स्िारक चिदक्सालय रीिा
जन चिकायत चनिारण चिभाग----िािा नेहरु बाल चिदक्सालय इांदौर,जन चिकायत चनिारण चिभाग,िािा नेहरु बाल चिदक्सालय इांदौर
जन चिकायत चनिारण चिभाग----जयारोग्य चिदक्सालय सिूह ग्िाचलयर,जन चिकायत चनिारण चिभाग,जयारोग्य चिदक्सालय सिूह ग्िाचलयर
जन चिकायत चनिारण चिभाग----नेताजी सुभाष िांद्र बोस िासकीय चिदक्सा िहाचिद्यालय जबलपुर,जन चिकायत चनिारण चिभाग,नेताजी सुभाष िांद्र बोस िासकीय चिदक्सा िहाचिद्यालय जबलपुर
जन चिकायत चनिारण चिभाग----बुांदेलखांड िासकीय चिदक्सा िहाचिद्यालय सागर,जन चिकायत चनिारण चिभाग,बुांदेलखांड िासकीय चिदक्सा िहाचिद्यालय सागर
जन चिकायत चनिारण चिभाग----चबरसा िुण्डा िासकीय चिदक्सा िहाचिद्यालय िहडोल,जन चिकायत चनिारण चिभाग,चबरसा िुण्डा िासकीय चिदक्सा िहाचिद्यालय िहडोल
जन चिकायत चनिारण चिभाग----ि.प्र. आयुर्िाज्ञान चिश्वचिद्यालय जबलपुर,जन चिकायत चनिारण चिभाग,ि.प्र. आयुर्िाज्ञान चिश्वचिद्यालय जबलपुर
जन चिकायत चनिारण चिभाग----ि.प्र. दन्त चिदक्सा इन्दौर,जन चिकायत चनिारण चिभाग,ि.प्र. दन्त चिदक्सा इन्दौर
जन चिकायत चनिारण चिभाग----ि.प्र. नसेस रचजस्रेिन कौंचसल भोपाल,जन चिकायत चनिारण चिभाग,ि.प्र. नसेस रचजस्रेिन कौंचसल भोपाल
जन चिकायत चनिारण चिभाग----ि.प्र. पैरािेचडकल कौंचसल भोपाल,जन चिकायत चनिारण चिभाग,ि.प्र. पैरािेचडकल कौंचसल भोपाल
जन चिकायत चनिारण चिभाग----ि.प्र. िेचडकल कौंचसल भोपाल,जन चिकायत चनिारण चिभाग,ि.प्र. िेचडकल कौंचसल भोपाल
